crs_row_num,course_title,CRSNUM,music_indicator
351,COMPOSITION IMPROVISATION I,8779,5
352,COMPOSITION IMPROVISATION II,8780,5
353,COMPOSITION IMPROVISATION III,8781,5
354,COMPOSITION IMPROVISATION IV,8782,5
309,CHOIR NON VARSITY TREBLE III,8566,2
310,CHOIR NON VARSITY TREBLE IV,8567,2
311,CHOIR NON-VARSITY TENOR/BASS I,8173,2
312,CHOIR NON-VARSITY TREBLE I,8171,2
313,CHOIR VARSITY MIXED II,8555,2
314,CHOIR VARSITY MIXED III,8468,2
315,CHOIR VARSITY MIXED IV,8469,2
316,CHOIR VARSITY TENOR BASS III,8563,2
317,CHOIR VARSITY TENOR BASS IV,8564,2
318,CHOIR VARSITY TENOR/BASS II,8562,2
319,CHOIR VARSITY TREBLE II,8552,2
320,CHOIR VARSITY TREBLE III,8553,2
321,CHOIR VARSITY TREBLE IV,8554,2
322,CHOIR-VARSITY MIXED I,8169,2
323,CHOIR-VARSITY TENOR-BASS I,8172,2
324,CHOIR-VARSITY TREBLE I,8170,2
305,CHOIR NON VARSITY TENOR BASS II,8559,2
306,CHOIR NON VARSITY TENOR BASS III,8560,2
307,CHOIR NON VARSITY TENOR BASS IV,8561,2
308,CHOIR NON VARSITY TREBLE II,8565,2
281,CHAMBER ENSEMBLE I,8205,1
282,CHAMBER ENSEMBLE II,8444,1
283,CHAMBER ENSEMBLE III,8445,1
284,CHAMBER ENSEMBLE IV,8446,1
241,BIG BAND IV,8709,6
196,APPLIED MUSIC I CONDUCTING,8601,9
197,APPLIED MUSIC II,4204,7
198,APPLIED MUSIC II VOCAL TECH,8589,2
199,APPLIED MUSIC IV OPERA,8595,2
200,APPLIED MUSIC JAZZ PIANO II,8597,10
201,APPLIED MUSIC VOCAL TECH,4201,2
183,AP MUSIC THEORY,8181,5
606,FULL ORCHESTRA IV,8692,3
696,HANDBELLS VARSITY I,8193,9
697,HANDBELLS VARSITY II,8474,9
698,HANDBELLS VARSITY III,8479,9
699,HANDBELLS VARSITY IV,8484,9
693,GUITAR ENSEMBLE III,8633,8
694,GUITAR STYLES & TECHNIQUES IV,8625,8
695,GUITAR STYLES & TECHNUQUES II,8619,8
798,IB MUSIC STUDIES HLA,6509,9
799,IB MUSIC STUDIES HLB,6510,9
800,IB MUSIC STUDIES SLA,6507,9
801,IB MUSIC STUDIES SLB,6508,9
858,INTERMEDIATE WINDS & PERCUSSION I,8200,1
859,INTERMEDIATE WINDS & PERCUSSION II,8417,1
860,INTERMEDIATE WINDS & PERCUSSION III,8418,1
861,INTERMEDIATE WINDS & PERCUSSION IV,8419,1
902,JAZZ IMPROV I,8703,6
958,MARIACHI IV,8701,3
983,MIXED CHOIR I (NON VARSITY),4413,2
984,MIXED CHOIR II (NON VARSITY),4414,2
985,MIXED CHOIR III (NON VARSITY),4418,2
986,MIXED CHOIR IV (NON VARSITY),4419,2
988,MODERN BAND NON VARSITY II,8546,4
989,MODERN BAND NON VARSITY III,8547,4
990,MODERN BAND NON VARSITY IV,8548,4
991,MODERN BAND NON-VARISTY I,8190,4
992,MODERN BAND VARSITY I,8191,4
993,MODERN BAND VARSITY II,8711,4
994,MODERN BAND VARSITY III,8544,4
995,MODERN BAND VARSITY IV,8545,4
1007,MS BRASS,8523,1
1008,MS CHOIR N-VARSITY TREBLE 2,8515,2
1009,MS CHOIR VARSITY MIXED 2,8513,2
1010,MS CHOIR VARSITY TENOR/BASS 2,8516,2
1016,MS MODERN BAND 1,8512,4
1017,MS MODERN BAND 2,8579,4
1018,MS NON VARSITY BAND 1,8521,1
1019,MS NON-VARSITY BAND 2,8570,1
1025,MS VARSITY BAND 1,8520,1
1026,MS VARSITY BAND 2,8569,1
1027,MS VARSITY ORCH 2,8573,3
1028,MS WOODWIND,8522,1
1032,MUSIC & MEDIA COM II,8641,9
1033,MUSIC APPRECIAT I DUAL CREDIT SEM 1,8835,7
1034,MUSIC APPRECIAT I DUAL CREDIT SEM 2,8837,7
1035,MUSIC APPRECIATION I,8176,7
1036,MUSIC APPRECIATION I - AIMS 1,4421,7
1037,MUSIC APPRECIATION I - AIMS 2,4422,7
1038,MUSIC APPRECIATION I SEM 1,8813,7
1039,MUSIC APPRECIATION I SEM 2,8815,7
1040,MUSIC APPRECIATION II,8177,7
1041,MUSIC BUSINESS LEVEL II,8189,9
1042,MUSIC COMPOSITION I,8609,5
1043,MUSIC COMPOSITION II,8611,5
1044,MUSIC HISTORY DUAL CREDIT,4356,7
1045,MUSIC PRODUCTION LEVEL I,8182,4
1046,MUSIC PRODUCTION LEVEL II,8183,4
1047,MUSIC THEORY LEVEL I,8179,5
1068,NON VARSITY JAZZ ENSEMBLE I,8202,6
1069,NON-VAR WINDS & PERC II (SPRING),8414,1
1070,NON-VAR WINDS & PERC III (SPRING),8415,1
1071,NON-VAR WINDS & PERC IV (SPRING),8416,1
1072,NON-VAR WINDS / PERC I (SPRING),8199,1
1077,NON-VARSITY JAZZ ENSEMBLE II,8426,6
